date,close,high,low,open,volume
2015-01-09 09:15:00+05:30,8281.55,8303.0,8273.95,8285.45,0
2015-01-09 10:15:00+05:30,8282.35,8291.45,8277.95,8281.5,0
2015-01-09 11:15:00+05:30,8221.85,8283.2,8191.1,8282.55,0
2015-01-09 12:15:00+05:30,8245.85,8272.6,8198.4,8222.85,0
2015-01-09 13:15:00+05:30,8225.2,8251.65,8204.75,8246.7,0
2015-01-09 14:15:00+05:30,8285.7,8296.35,8224.75,8224.75,0
2015-01-09 15:15:00+05:30,8280.25,8288.05,8278.05,8286.3,0
2015-01-12 09:15:00+05:30,8284.1,8292.7,8245.6,8291.35,0
2015-01-12 10:15:00+05:30,8281.35,8297.3,8277.05,8283.5,0
2015-01-12 11:15:00+05:30,8268.6,8293.9,8263.4,8280.9,0
2015-01-12 12:15:00+05:30,8272.8,8275.4,8252.5,8268.95,0
2015-01-12 13:15:00+05:30,8283.3,8293.35,8265.65,8272.85,0
2015-01-12 14:15:00+05:30,8319.95,8323.6,8282.15,8283.3,0
2015-01-12 15:15:00+05:30,8326.55,8332.25,8318.6,8319.55,0
2015-01-13 09:15:00+05:30,8336.7,8355.9,8322.0,8346.15,0
2015-01-13 10:15:00+05:30,8336.4,8344.75,8332.15,8337.1,0
2015-01-13 11:15:00+05:30,8340.0,8343.4,8323.3,8336.6,0
2015-01-13 12:15:00+05:30,8340.65,8342.95,8321.3,8340.05,0
2015-01-13 13:15:00+05:30,8339.25,8356.65,8339.25,8341.3,0
2015-01-13 14:15:00+05:30,8304.8,8343.0,8268.15,8339.8,0
2015-01-13 15:15:00+05:30,8303.8,8309.3,8296.2,8304.9,0
2015-01-14 09:15:00+05:30,8304.0,8326.3,8286.85,8307.25,0
2015-01-14 10:15:00+05:30,8290.1,8308.5,8287.3,8304.25,0
2015-01-14 11:15:00+05:30,8274.9,8293.35,8271.7,8290.2,0
2015-01-14 12:15:00+05:30,8257.9,8277.55,8236.75,8274.75,0
2015-01-14 13:15:00+05:30,8280.45,8291.95,8244.05,8258.2,0
2015-01-14 14:15:00+05:30,8272.8,8301.9,8252.2,8281.6,0
2015-01-14 15:15:00+05:30,8287.75,8290.25,8269.0,8273.05,0
2015-01-15 09:15:00+05:30,8407.8,8452.65,8380.75,8425.2,0
2015-01-15 10:15:00+05:30,8433.3,8437.35,8399.1,8407.4,0
2015-01-15 11:15:00+05:30,8459.75,8468.55,8430.45,8433.3,0
2015-01-15 12:15:00+05:30,8472.65,8482.95,8451.75,8459.45,0
2015-01-15 13:15:00+05:30,8491.1,8496.7,8468.15,8472.6,0
2015-01-15 14:15:00+05:30,8510.75,8526.9,8487.1,8490.8,0
2015-01-15 15:15:00+05:30,8461.15,8511.0,8459.35,8510.45,0
2015-01-19 09:15:00+05:30,8560.3,8565.8,8548.2,8553.4,0
2015-01-19 10:15:00+05:30,8566.7,8570.8,8554.75,8560.4,0
2015-01-19 11:15:00+05:30,8551.0,8568.15,8540.7,8566.55,0
2015-01-19 12:15:00+05:30,8553.4,8556.8,8531.7,8551.35,0
2015-01-19 13:15:00+05:30,8564.55,8568.25,8552.25,8553.45,0
2015-01-19 14:15:00+05:30,8551.45,8565.55,8543.45,8564.15,0
2015-01-19 15:15:00+05:30,8550.3,8552.9,8546.4,8550.85,0
2015-01-20 09:15:00+05:30,8598.3,8599.2,8574.65,8575.1,0
2015-01-20 10:15:00+05:30,8599.25,8605.0,8592.75,8598.55,0
2015-01-20 11:15:00+05:30,8603.9,8608.4,8592.0,8599.3,0
2015-01-20 12:15:00+05:30,8624.45,8629.3,8602.7,8604.25,0
2015-01-20 13:15:00+05:30,8654.6,8658.6,8614.0,8623.85,0
2015-01-20 14:15:00+05:30,8689.85,8707.75,8654.5,8654.9,0
2015-01-20 15:15:00+05:30,8691.25,8696.9,8687.1,8689.9,0
2015-01-21 09:15:00+05:30,8715.75,8741.5,8699.9,8719.65,0
2015-01-21 10:15:00+05:30,8704.5,8733.15,8689.7,8716.25,0
2015-01-21 11:15:00+05:30,8720.25,8728.45,8696.4,8704.85,0
2015-01-21 12:15:00+05:30,8719.8,8724.75,8703.05,8719.9,0
2015-01-21 13:15:00+05:30,8715.3,8734.6,8712.25,8719.75,0
2015-01-21 14:15:00+05:30,8730.7,8733.7,8703.2,8715.1,0
2015-01-21 15:15:00+05:30,8728.05,8734.8,8723.6,8731.3,0
2015-01-22 09:15:00+05:30,8762.05,8764.25,8735.0,8745.85,0
2015-01-22 10:15:00+05:30,8754.7,8772.45,8747.8,8764.15,0
2015-01-22 11:15:00+05:30,8758.45,8765.6,8750.05,8754.85,0
2015-01-22 12:15:00+05:30,8746.65,8760.95,8741.55,8757.5,0
2015-01-22 13:15:00+05:30,8735.35,8761.8,8728.75,8746.55,0
2015-01-22 14:15:00+05:30,8760.3,8761.2,8727.15,8735.05,0
2015-01-22 15:15:00+05:30,8762.2,8774.0,8759.95,8759.95,0
2015-01-23 09:15:00+05:30,8843.7,8866.15,8827.95,8827.95,0
2015-01-23 10:15:00+05:30,8806.15,8843.75,8795.6,8843.25,0
2015-01-23 11:15:00+05:30,8807.7,8820.95,8799.5,8805.6,0
2015-01-23 12:15:00+05:30,8822.4,8827.9,8807.15,8807.5,0
2015-01-23 13:15:00+05:30,8830.35,8837.0,8806.7,8822.65,0
2015-01-23 14:15:00+05:30,8834.85,8849.6,8819.25,8830.1,0
2015-01-23 15:15:00+05:30,8823.55,8837.05,8822.35,8834.9,0
2015-01-27 09:15:00+05:30,8854.3,8874.7,8826.1,8871.35,0
2015-01-27 10:15:00+05:30,8847.15,8861.15,8840.05,8853.95,0
2015-01-27 11:15:00+05:30,8833.45,8850.05,8825.55,8847.7,0
2015-01-27 12:15:00+05:30,8850.2,8853.0,8833.1,8833.45,0
2015-01-27 13:15:00+05:30,8851.15,8864.45,8842.55,8849.6,0
2015-01-27 14:15:00+05:30,8915.5,8924.95,8850.55,8850.8,0
2015-01-27 15:15:00+05:30,8904.2,8916.3,8902.0,8915.35,0
2015-01-28 09:15:00+05:30,8909.15,8917.95,8889.35,8902.75,0
2015-01-28 10:15:00+05:30,8928.0,8930.65,8898.4,8910.15,0
2015-01-28 11:15:00+05:30,8955.3,8961.8,8928.0,8928.7,0
2015-01-28 12:15:00+05:30,8928.7,8985.05,8907.55,8955.25,0
2015-01-28 13:15:00+05:30,8907.75,8936.7,8892.45,8928.15,0
2015-01-28 14:15:00+05:30,8920.05,8923.75,8874.2,8907.8,0
2015-01-28 15:15:00+05:30,8906.8,8921.0,8905.0,8920.25,0
2015-01-29 09:15:00+05:30,8873.4,8901.5,8861.65,8901.5,0
2015-01-29 10:15:00+05:30,8872.75,8892.65,8872.75,8873.6,0
2015-01-29 11:15:00+05:30,8900.15,8907.45,8863.4,8872.7,0
2015-01-29 12:15:00+05:30,8876.65,8900.0,8874.35,8898.75,0
2015-01-29 13:15:00+05:30,8883.2,8904.95,8872.0,8875.95,0
2015-01-29 14:15:00+05:30,8953.45,8966.2,8871.35,8882.9,0
2015-01-29 15:15:00+05:30,8950.2,8958.6,8945.05,8954.05,0
