date,close,high,low,open,Check 
2015-01-09 09:20:00+05:30,8301,8303,8293.25,8300.5,bear
2015-01-09 09:25:00+05:30,8294.15,8302.55,8286.8,8301.65,bear
2015-01-09 09:30:00+05:30,8288.5,8295.75,8280.65,8294.1,bear
2015-01-09 09:35:00+05:30,8283.45,8290.45,8278,8289.1,bear
2015-01-09 09:40:00+05:30,8285.55,8288.3,8277.4,8283.4,bear
2015-01-09 10:00:00+05:30,8285.5,8287.35,8281.7,8281.8,bear
2015-01-09 10:05:00+05:30,8280.3,8286.4,8279.95,8285.55,bear
2015-01-09 10:10:00+05:30,8281.55,8281.6,8274.95,8280.05,bear
2015-01-09 10:15:00+05:30,8283.35,8284.25,8277.95,8281.5,bear
2015-01-09 10:20:00+05:30,8287.5,8287.9,8283.1,8283.65,bear
2015-01-09 11:10:00+05:30,8282.35,8286.35,8279.9,8281.85,bear
2015-01-09 11:15:00+05:30,8278.45,8283.2,8276.15,8282.55,bear
2015-01-09 11:20:00+05:30,8266.55,8280.7,8266.55,8278.55,bear
2015-01-09 11:25:00+05:30,8264.75,8270.15,8262.85,8267.05,bear
2015-01-09 11:30:00+05:30,8255.55,8264.75,8250.2,8264.65,bear
2015-01-09 11:55:00+05:30,8259.1,8260.25,8257.15,8257.3,bear
2015-01-09 12:00:00+05:30,8211.5,8260.3,8211.2,8259.2,bear
2015-01-09 12:05:00+05:30,8211.85,8226,8191.1,8211.15,bear
2015-01-09 12:10:00+05:30,8221.85,8221.85,8201.3,8211.7,bear
2015-01-09 12:15:00+05:30,8221.5,8226.9,8208.9,8222.85,bear
2015-01-09 13:35:00+05:30,8249.1,8251.65,8236.55,8245.3,bear
2015-01-09 13:40:00+05:30,8244.1,8249.7,8239.1,8249.2,bear
2015-01-09 13:45:00+05:30,8234.95,8245.35,8234.4,8244.45,bear
2015-01-09 13:50:00+05:30,8230.75,8241.35,8230.55,8234.95,bear
2015-01-09 13:55:00+05:30,8216.45,8231.35,8204.75,8231.05,bear
2015-01-09 15:10:00+05:30,8285.7,8296.35,8284.4,8284.5,bear
2015-01-09 15:15:00+05:30,8281.05,8287.55,8279.4,8286.3,bear
2015-01-09 15:20:00+05:30,8286.35,8288.05,8280.8,8280.8,bear
2015-01-09 15:25:00+05:30,8280.25,8286.65,8278.05,8286.65,bear
2015-01-12 09:15:00+05:30,8267.6,8291.35,8245.6,8291.35,bear
2015-01-12 11:00:00+05:30,8286.15,8288.05,8283,8284.35,bear
2015-01-12 11:05:00+05:30,8283.9,8287.1,8282.4,8286.2,bear
2015-01-12 11:10:00+05:30,8281.35,8284.25,8280.8,8283.5,bear
2015-01-12 11:15:00+05:30,8281.3,8282.5,8276.1,8280.9,bear
2015-01-12 11:20:00+05:30,8283.7,8285.3,8281.3,8281.35,bear
2015-01-12 12:00:00+05:30,8291,8292.45,8287.4,8287.8,bear
2015-01-12 12:05:00+05:30,8281.65,8293.9,8279.75,8291.2,bear
2015-01-12 12:10:00+05:30,8268.6,8281.95,8263.4,8281.95,bear
2015-01-12 12:15:00+05:30,8263,8270.25,8258.4,8268.95,bear
2015-01-12 12:20:00+05:30,8255.35,8263.25,8254.05,8263.25,bear
2015-01-12 13:10:00+05:30,8272.8,8275.4,8267.75,8269.15,bear
2015-01-12 13:15:00+05:30,8267.9,8273.4,8265.65,8272.85,bear
2015-01-12 13:20:00+05:30,8272.75,8273.7,8267.85,8267.9,bear
2015-01-12 13:25:00+05:30,8267.85,8274.45,8266.8,8273.2,bear
2015-01-12 13:30:00+05:30,8275.1,8275.1,8267.15,8267.75,bear
2015-01-13 09:50:00+05:30,8343.95,8349.95,8342.55,8342.75,bear
2015-01-13 09:55:00+05:30,8339.7,8346.9,8339.45,8344.2,bear
2015-01-13 10:00:00+05:30,8335.35,8340.2,8333.1,8340,bear
2015-01-13 10:05:00+05:30,8339.55,8341.05,8335.05,8335.35,bear
2015-01-13 10:10:00+05:30,8336.7,8340.35,8336.4,8339.2,bear
2015-01-13 11:15:00+05:30,8338.3,8338.75,8336.2,8336.6,bear
2015-01-13 11:20:00+05:30,8328.95,8338.65,8328.65,8338.65,bear
2015-01-13 11:25:00+05:30,8329.3,8332.65,8328.15,8329.2,bear
2015-01-13 11:30:00+05:30,8326.95,8330,8323.3,8329.45,bear
2015-01-13 11:35:00+05:30,8334.05,8334.65,8326.9,8327.05,bear
2015-01-13 12:20:00+05:30,8342.6,8342.95,8340,8340.45,bear
2015-01-13 12:25:00+05:30,8335.65,8342.85,8332.9,8342.7,bear
2015-01-13 12:30:00+05:30,8334.45,8336.25,8329.45,8335.65,bear
2015-01-13 12:35:00+05:30,8325.5,8334.45,8324.1,8334.4,bear
2015-01-13 12:40:00+05:30,8328.65,8328.8,8321.3,8325.25,bear
2015-01-13 14:35:00+05:30,8302.15,8306.95,8297.05,8301,bear
2015-01-13 14:40:00+05:30,8276.65,8304.2,8271.3,8302.45,bear
2015-01-13 14:45:00+05:30,8276.35,8282.7,8268.15,8276.4,bear
2015-01-13 14:50:00+05:30,8280.05,8283.2,8269.7,8276.55,bear
2015-01-13 14:55:00+05:30,8281.75,8283.95,8275,8279.55,bear
2015-01-14 10:10:00+05:30,8304,8304.8,8300.4,8303.95,bear
2015-01-14 10:15:00+05:30,8297.5,8304.25,8290.9,8304.25,bear
2015-01-14 10:20:00+05:30,8291.4,8299.05,8290.3,8297.5,bear
2015-01-14 10:25:00+05:30,8303.85,8304.9,8291,8291.45,bear
2015-01-14 10:30:00+05:30,8296.35,8303.95,8295.05,8303.95,bear
2015-01-14 11:45:00+05:30,8292.05,8292.5,8287.15,8288.55,bear
2015-01-14 11:50:00+05:30,8287.4,8293.35,8287.4,8292.15,bear
2015-01-14 11:55:00+05:30,8283.6,8287.5,8281.95,8287.05,bear
2015-01-14 12:00:00+05:30,8272.85,8288.7,8271.7,8283.9,bear
2015-01-14 12:05:00+05:30,8276.8,8281.15,8272.85,8273.45,bear
2015-01-14 12:15:00+05:30,8275.6,8276.35,8272.65,8274.75,bear
2015-01-14 12:20:00+05:30,8274.05,8277.55,8273.25,8275.7,bear
2015-01-14 12:25:00+05:30,8247.15,8274.55,8247.15,8274.55,bear
2015-01-14 12:30:00+05:30,8244.45,8248.45,8236.75,8245.9,bear
2015-01-14 12:35:00+05:30,8247.6,8250.7,8238.25,8244.55,bear
2015-01-15 13:35:00+05:30,8483.75,8486.85,8480.9,8483,bear
2015-01-15 13:40:00+05:30,8481.65,8484.35,8481.35,8483.95,bear
2015-01-15 13:45:00+05:30,8476.3,8481.9,8475.3,8481.85,bear
2015-01-15 13:50:00+05:30,8476.05,8477.25,8472.9,8476.2,bear
2015-01-15 13:55:00+05:30,8479.4,8479.85,8474.25,8476.15,bear
2015-01-19 12:35:00+05:30,8544.5,8545.35,8542.2,8542.2,bear
2015-01-19 12:40:00+05:30,8539.6,8544.6,8538.75,8544.55,bear
2015-01-19 12:45:00+05:30,8544.1,8547.25,8539.55,8540.15,bear
2015-01-19 12:50:00+05:30,8547.25,8547.8,8542.7,8544.25,bear
2015-01-19 12:55:00+05:30,8549.45,8550,8545.35,8547.1,bear
2015-01-19 13:25:00+05:30,8559.4,8561.9,8558.4,8558.7,bear
2015-01-19 13:30:00+05:30,8553.8,8559.9,8553.45,8559.5,bear
2015-01-19 13:35:00+05:30,8558.2,8558.2,8553,8554.75,bear
2015-01-19 13:40:00+05:30,8556.4,8560.85,8555.3,8558.15,bear
2015-01-19 13:45:00+05:30,8556.5,8557.3,8554.45,8556.15,bear
2015-01-20 10:30:00+05:30,8596.3,8597.4,8593.1,8595.1,bear
2015-01-20 10:35:00+05:30,8594.5,8597.8,8593.45,8596.35,bear
2015-01-20 10:40:00+05:30,8598.5,8599.05,8592.85,8594.25,bear
2015-01-20 10:45:00+05:30,8602.65,8603.85,8598.1,8598.35,bear
2015-01-20 10:50:00+05:30,8603.35,8604.9,8601.4,8602.75,bear
2015-01-21 10:35:00+05:30,8725.6,8726.3,8719.95,8721.75,bear
2015-01-21 10:40:00+05:30,8718.25,8727.3,8718.15,8725.7,bear
2015-01-21 10:45:00+05:30,8715,8718.3,8713.2,8717.75,bear
2015-01-21 10:50:00+05:30,8708.25,8722.7,8708.1,8714.5,bear
2015-01-21 10:55:00+05:30,8703.65,8713.5,8703.2,8708.1,bear
2015-01-21 11:10:00+05:30,8704.5,8710.45,8701.7,8702.3,bear
2015-01-21 11:15:00+05:30,8697.9,8710.5,8696.4,8704.85,bear
2015-01-21 11:20:00+05:30,8704.65,8707.05,8697.75,8697.75,bear
2015-01-21 11:25:00+05:30,8711.05,8712.25,8703.1,8704.8,bear
2015-01-21 11:30:00+05:30,8714.25,8716.25,8708.9,8711.35,bear
2015-01-21 12:05:00+05:30,8725.35,8728.45,8722.6,8722.75,bear
2015-01-21 12:10:00+05:30,8720.25,8725.75,8719.75,8725.55,bear
2015-01-21 12:15:00+05:30,8718.15,8721.75,8715.95,8719.9,bear
2015-01-21 12:20:00+05:30,8723.5,8724.5,8716.95,8718.5,bear
2015-01-21 12:25:00+05:30,8723,8724.75,8720.85,8723.25,bear
2015-01-21 12:40:00+05:30,8720,8721,8709.8,8718.3,bear
2015-01-21 12:45:00+05:30,8711.55,8720.25,8708.85,8720.05,bear
2015-01-21 12:50:00+05:30,8706.5,8711.95,8703.05,8711.45,bear
2015-01-21 12:55:00+05:30,8715.2,8715.2,8706.85,8707.2,bear
2015-01-21 13:00:00+05:30,8711.3,8716.6,8708.3,8715.3,bear
2015-01-21 15:10:00+05:30,8730.7,8732.85,8728.5,8730.15,bear
2015-01-21 15:15:00+05:30,8727.15,8731.65,8723.6,8731.3,bear
2015-01-21 15:20:00+05:30,8731.05,8731.55,8726.95,8727.05,bear
2015-01-21 15:25:00+05:30,8728.05,8734.8,8727,8730.95,bear
2015-01-22 09:15:00+05:30,8751.25,8754.55,8745.5,8745.85,bear
2015-01-22 11:00:00+05:30,8757.8,8757.9,8750.5,8751.85,bear
2015-01-22 11:05:00+05:30,8748.35,8758.55,8747.8,8758.2,bear
2015-01-22 11:10:00+05:30,8754.7,8758,8747.95,8748.8,bear
2015-01-22 11:15:00+05:30,8754.2,8756.3,8753.25,8754.85,bear
2015-01-22 11:20:00+05:30,8752.1,8755.55,8752.05,8754.4,bear
2015-01-22 11:40:00+05:30,8760.7,8761.15,8756.95,8759.65,bear
2015-01-22 11:45:00+05:30,8756.05,8762.25,8754.75,8760.9,bear
2015-01-22 11:50:00+05:30,8758.1,8761.85,8756,8756,bear
2015-01-22 11:55:00+05:30,8760.9,8765.6,8756.6,8757.95,bear
2015-01-22 12:00:00+05:30,8764.05,8765.15,8759.65,8759.9,bear
2015-01-22 13:00:00+05:30,8746.35,8749.05,8744.95,8745.8,bear
2015-01-22 13:05:00+05:30,8744.85,8747.75,8741.55,8746.5,bear
2015-01-22 13:10:00+05:30,8746.65,8748.5,8742.6,8744.45,bear
2015-01-22 13:15:00+05:30,8749.9,8753.25,8745.95,8746.55,bear
2015-01-22 13:20:00+05:30,8746.5,8750.05,8743.5,8749.75,bear
2015-01-23 09:50:00+05:30,8859.6,8861.5,8853.95,8854.25,bear
2015-01-23 09:55:00+05:30,8853.65,8863.7,8853.65,8859.8,bear
2015-01-23 10:00:00+05:30,8859.3,8859.9,8852.7,8854.25,bear
2015-01-23 10:05:00+05:30,8853.3,8860.95,8852.95,8859.5,bear
2015-01-23 10:10:00+05:30,8843.7,8853.85,8843.15,8852.9,bear
